,Unnamed: 0,Name,Size,Role,SCM(m/s),Boost(m/s),SCU(kg),Crew min,Crew max,Length(m),Beam(m),Height(m),Mass(kg),Status,Manufacturer,Patch release,Cost (Dollars)
12,12,890 Jump,Capital,Touring,80.0,900.0,484,3.0,5.0,210,71.0,40.0,44246556.0,Flight Ready,ORIG,,950.0
28,28,Bengal,Capital,Fleet carrier,30.0,900.0,0,20.0,750.0,990,10.0,20.0,156000000.0,Production,RSI,TBA,
56,56,Driller,Capital,Escort and troop carrier,60.0,900.0,1,15.0,100.0,"2,400",710.0,625.0,10218790.0,Production,VNCL,,
59,59,Endeavor,Capital,Heavy Science,30.0,900.0,500,1.0,5.0,200,48.0,20.0,4055000.0,Announced,MISC,,
60,60,Endeavor Discovery,Capital,Heavy Science,30.0,900.0,500,3.0,5.0,200,48.0,20.0,4055000.0,Announced,MISC,TBA,
61,61,Endeavor Hope,Capital,Heavy Science,30.0,900.0,500,3.0,5.0,200,48.0,20.0,4055000.0,Announced,MISC,TBA,
62,62,Endeavor Olympic,Capital,Heavy Science,30.0,900.0,500,3.0,5.0,200,48.0,20.0,4055000.0,Announced,MISC,TBA,
89,89,Hull D,Capital,Heavy Freight,60.0,770.0,"6,144",3.0,5.0,209,70.0,70.0,1216000.0,Announced,MISC,,
90,90,Hull E,Capital,Heavy Freight,60.0,770.0,"8,192",4.0,5.0,372,104.0,104.0,1652000.0,Announced,MISC,,
92,92,Idris-K,Capital,Frigate,45.0,1462.0,995,8.0,28.0,242,126.0,46.0,37755400.0,Announced,AEGS,TBA,
93,93,Idris-M,Capital,Frigate,45.0,1462.0,831,8.0,28.0,242,126.0,46.0,37866540.0,Production,AEGS,TBA,
94,94,Idris-P,Capital,Frigate,45.0,1462.0,995,8.0,28.0,233,126.0,46.0,37310200.0,Announced,AEGS,TBA,
95,95,Javelin,Capital,Destroyer,200.0,1200.0,5400,12.0,80.0,480,198.0,72.0,109860179.0,Production,AEGS,TBA,
97,97,Kingship,Capital,Fleet Carrier,50.0,900.0,4000,1.0,1400.0,"3,000",1180.0,670.0,2800001.0,Production,VNCL,,
98,98,Kraken,Capital,Multi-Role - Light Carrier,60.0,1000.0,3792,1.0,10.0,270,104.0,64.0,35655400.0,Announced,DRAK,TBA,
99,99,Kraken Conversion Kit,Capital,Multi-Role - Light Carrier,60.0,1000.0,3792,1.0,10.0,270,104.0,64.0,35655400.0,Announced,DRAK,TBA,
100,100,Kraken Privateer,Capital,Multi-Role - Light Carrier,60.0,1000.0,768,1.0,10.0,270,104.0,64.0,35655400.0,Announced,DRAK,TBA,
122,122,Orion,Capital,Heavy Mining,90.0,1000.0,384,4.0,7.0,170,50.0,50.0,26496000.0,Announced,RSI,TBA,
126,126,Pegasus,Capital,Escort Carrier,60.0,900.0,2000,1.0,25.0,147,45.0,28.0,32400000.0,Production,RSI,,
128,128,Pioneer,Capital,Heavy Construction,85.0,980.0,600,4.0,8.0,200,125.0,30.0,32400000.0,Announced,CNOU,TBA,
130,130,Polaris,Capital,Corvette,120.0,1100.0,216,6.0,14.0,155,82.0,35.0,17155000.0,Concept,RSI,TBA,
