Size,Large,
Boost(m/s),(All),
,,
Row Labels,Sum of Mass(kg),Sum of Boost(m/s)
400i,455927.06,1249
600i Executive-Edition,1576792,975
600i Explorer,1626251.25,975
600i Touring,1576792,950
A2 Hercules Starlifter,3191991.75,961
Apollo Medivac,376500,1100
Apollo Triage,376500,1210
C2 Hercules Starlifter,3193461,962
Carrack,4397858,1076
Carrack Best in Show 2950 Edition,4397858,1076
Carrack Expedition,4397858,1076
Caterpillar,1673626.25,890
Caterpillar Best In Show Edition,1608205,890
Caterpillar Pirate Edition,1608205,890
Constellation Andromeda,436531.22,910
Constellation Aquila,453823.25,985
Constellation Phoenix,417510,911
Constellation Phoenix Emerald,417510,911
Constellation Taurus,431529.28,911
Corsair,434629,950
Crucible,3650500,900
Genesis Starliner,3120000,950
Hammerhead,4630030,1000
Hammerhead Best In Show Edition,4260000,1000
Hull C,886930,900
Liberator,2600820,970
M2 Hercules Starlifter,3139240,962
Merchantman,9635000,1150
Nautilus,13526320,950
Nautilus Solstice,13526320,950
Odyssey,453823,950
Perseus,3560000,1120
Reclaimer,9500158,930
Reclaimer Best In Show Edition,9500158,930
Retaliator Base,300392,815
Retaliator Bomber,348634.34,814
Starfarer,3510025,888
Starfarer Gemini,3517864,888
Void,106460,900
Grand Total,122822032.4,37825
