,Unnamed: 0,Name,Size,Role,SCM(m/s),Boost(m/s),SCU(kg),Crew min,Crew max,Length(m),Beam(m),Height(m),Mass(kg),Status,Manufacturer,Patch release,Cost (Dollars)
16,16,Ares Star Fighter Inferno,Medium,Heavy Combat Fighter,170.0,818.0,0,1.0,1.0,27.2,30.2,5.5,343454.97,Flight Ready,CRSD,,220.0
17,17,Ares Star Fighter Ion,Medium,Heavy Combat Fighter,170.0,818.0,0,1.0,1.0,27.2,30.2,5.5,342194.97,Flight Ready,CRSD,,220.0
49,49,Cutlass Black,Medium,Medium Fighter;Medium Freight,220.0,1115.0,46,2.0,2.0,29,26.5,10.0,226700.0,Flight Ready,DRAK,,
50,50,Cutlass Black Best In Show Edition,Medium,Medium Fighter;Medium Freight,220.0,1115.0,46,2.0,2.0,29,26.5,10.0,226700.0,Flight Ready,DRAK,?,
51,51,Cutlass Black Best in Show 2950 Edition,Medium,Medium Fighter;Medium Freight,220.0,1115.0,46,2.0,2.0,29,26.5,10.0,226700.0,Flight Ready,DRAK,,
52,52,Cutlass Blue,Medium,Interdiction,220.0,1115.0,12,2.0,2.0,29,26.5,10.0,226700.0,Flight Ready,DRAK,,
53,53,Cutlass Red,Medium,Medical,165.0,1198.0,12,2.0,2.0,36,26.0,12.0,226700.0,Flight Ready,DRAK,,
57,57,Eclipse,Medium,Stealth Bomber,195.0,980.0,0,1.0,1.0,20.5,36.6,4.4,57938.02,Flight Ready,AEGS,Alpha 3.2.0,
58,58,Eclipse Best in Show 2950 Edition,Medium,Stealth Bomber,195.0,980.0,0,1.0,1.0,20.5,36.6,4.4,54216.0,Flight Ready,AEGS,Alpha 3.11.1,
73,73,Freelancer,Medium,Medium Freight,205.0,1005.0,66,2.0,4.0,38,23.5,9.5,209230.0,Flight Ready,MISC,,
74,74,Freelancer DUR,Medium,Expedition,154.0,1005.0,36,2.0,4.0,38,23.5,9.5,213680.0,Flight Ready,MISC,Alpha 3.4.0,
75,75,Freelancer MAX,Medium,Medium Freight,154.0,1005.0,120,2.0,4.0,38,36.0,9.5,336230.0,Flight Ready,MISC,,
76,76,Freelancer MIS,Medium,Gunship,154.0,1005.0,36,2.0,4.0,38,23.5,9.5,213680.0,Flight Ready,MISC,Alpha 3.4.0,
81,81,Glaive,Medium,Medium Fighter,255.0,1230.0,0,1.0,1.0,31,31.5,8.5,66013.0,Flight Ready,ESRA,?,
87,87,Hull B,Medium,Heavy Freight,100.0,940.0,"1,024",1.0,1.0,49,15.5,17.0,387500.0,Announced,MISC,,
104,104,MOLE,Medium,Prospecting and Mining,127.0,1089.0,288,1.0,4.0,45,25.0,15.0,1169686.0,Flight Ready,ARGO,,
105,105,MOLE Carbon,Medium,Prospecting and Mining,128.0,1090.0,288,1.0,4.0,45,25.0,15.0,1169686.0,Flight Ready,ARGO,,
106,106,MOLE Talus,Medium,Prospecting and Mining,128.0,1090.0,288,1.0,4.0,45,25.0,15.0,1169686.0,Flight Ready,ARGO,,
111,111,Mercury Star Runner,Medium,Medium Cargo;Medium Data,215.0,1287.0,114,2.0,3.0,56,51.0,16.0,1633722.0,Flight Ready,CRSD,,
132,132,Prowler,Medium,Dropship,178.0,1116.0,0,2.0,2.0,34,33.0,15.0,171700.0,Flight Ready,ESRA,Alpha 3.9.0,
133,133,RAFT,Medium,Medium Freight,134.0,839.0,96,1.0,2.0,39.5,23.0,12.0,1183477.88,Flight Ready,ARGO,,
134,134,Railen,Medium,Cargo,120.0,1090.0,320,1.0,4.0,54,52.0,67.0,224230.0,Concept,GAMA,,
140,140,Redeemer,Medium,Gunship,139.0,959.0,2,3.0,4.0,37.5,19.5,11.0,473296.41,Flight Ready,AEGS,,
151,151,San'tok.yāi,Medium,Medium Fighter,265.0,1265.0,0,1.0,1.0,24,23.0,10.0,106566.0,Concept,AOPA,TBA,
163,163,Vanguard Harbinger,Medium,Bomber,171.0,1022.0,0,2.0,2.0,38,26.5,9.5,240092.0,Flight Ready,AEGS,,
164,164,Vanguard Hoplite,Medium,Dropship,230.0,1020.0,0,2.0,2.0,38,26.5,9.5,229440.0,Flight Ready,AEGS,Alpha 2.6.0,
165,165,Vanguard Sentinel,Medium,Interdiction,230.0,1022.0,0,2.0,2.0,38,26.5,9.5,238616.0,Flight Ready,AEGS,Alpha 3.7.0,
166,166,Vanguard Warden,Medium,Heavy Fighter,225.0,1115.0,0,2.0,2.0,38,26.5,9.5,256409.25,Flight Ready,AEGS,Alpha 2.1.0,
168,168,Vulcan,Medium,Medium Repair;Medium Refuel,210.0,1180.0,12,1.0,3.0,38.5,16.5,10.0,625330.0,Announced,AEGS,TBA,
