,Name,Size,Role,SCM(m/s),Boost(m/s),SCU(kg),Crew min,Crew max,Length(m),Beam(m),Height(m),Mass(kg),Status,Manufacturer,Patch release,Cost (Dollars)
0,100i,Small,Starter;Touring,210.0,1000.0,2,1.0,1.0,19.3,11.0,4.0,48143.0,Flight Ready,ORIG,,50.0
1,125a,Small,Starter;Light Fighter,230.0,1150.0,2,1.0,1.0,19.3,11.0,4.0,48143.0,Flight Ready,ORIG,,60.0
2,135c,Small,Starter;Light Freight,190.0,1095.0,6,1.0,1.0,19.3,11.0,4.0,48143.0,Flight Ready,ORIG,Alpha 3.11.0,65.0
3,300i,Small,Touring,204.0,1190.0,8,1.0,1.0,27,17.0,8.0,66320.0,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.0 (Rework),60.0
4,315p,Small,Pathfinder,210.0,1225.0,12,1.0,1.0,27,17.0,8.0,69220.0,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.1 (Rework),65.0
5,325a,Small,Interdiction,225.0,1315.0,4,1.0,1.0,27,17.0,8.0,81435.0,Flight Ready,ORIG,,70.0
6,350r,Small,Racing,258.0,1345.0,4,1.0,1.0,27,17.0,8.0,58530.0,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.1 (Rework),125.0
7,400i,Large,Pathfinder,184.0,1249.0,42,1.0,3.0,60,32.0,12.5,455927.06,Flight Ready,ORIG,,250.0
8,600i Executive-Edition,Large,Expedition,145.0,975.0,40,2.0,5.0,91.5,52.0,17.0,1576792.0,Flight Ready,ORIG,,25000.0
9,600i Explorer,Large,Expedition,145.0,975.0,40,2.0,5.0,91.5,52.0,17.0,1626251.25,Flight Ready,ORIG,,475.0
10,600i Touring,Large,Touring,135.0,950.0,16,3.0,5.0,91.5,52.0,17.0,1576792.0,Flight Ready,ORIG,,350.0
11,85X,Snub,Touring,255.0,1185.0,0,1.0,2.0,13,10.0,2.0,19097.0,Flight Ready,ORIG,,50.0
12,890 Jump,Capital,Touring,80.0,900.0,484,3.0,5.0,210,71.0,40.0,44246556.0,Flight Ready,ORIG,,950.0
13,A2 Hercules Starlifter,Large,Transport Gunship,135.0,961.0,216,1.0,8.0,94,70.0,23.0,3191991.75,Flight Ready,CRSD,,700.0
14,Apollo Medivac,Large,Support - Medical,195.0,1100.0,28,1.0,2.0,43,30.0,10.0,376500.0,Announced,RSI,TBA,275.0
15,Apollo Triage,Large,Support - Medical,205.0,1210.0,28,1.0,2.0,43,30.0,10.0,376500.0,Announced,RSI,TBA,250.0
16,Ares Star Fighter Inferno,Medium,Heavy Combat Fighter,170.0,818.0,0,1.0,1.0,27.2,30.2,5.5,343454.97,Flight Ready,CRSD,,220.0
17,Ares Star Fighter Ion,Medium,Heavy Combat Fighter,170.0,818.0,0,1.0,1.0,27.2,30.2,5.5,342194.97,Flight Ready,CRSD,,220.0
18,Arrow,Small,Light Fighter,270.0,1235.0,0,1.0,1.0,16,12.0,4.0,34377.0,Flight Ready,ANVL,,75.0
19,Aurora CL,Small,Light Freight,185.0,1095.0,6,1.0,1.0,18,8.0,4.0,25172.0,Flight Ready,RSI,,45.0
20,Aurora ES,Small,Starter;Pathfinder,190.0,1140.0,3,1.0,1.0,18,8.0,4.0,25172.0,Flight Ready,RSI,,20.0
21,Aurora LN,Small,Light Fighter,185.0,1210.0,3,1.0,1.0,18,8.0,4.0,25338.0,Flight Ready,RSI,,40.0
22,Aurora LX,Small,Pathfinder,190.0,1200.0,3,1.0,1.0,18,8.0,4.0,25017.0,Flight Ready,RSI,,35.0
23,Aurora MR,Small,Light Fighter,195.0,1210.0,3,1.0,1.0,18,8.0,4.0,28696.99,Flight Ready,RSI,,30.0
24,Avenger Stalker,Small,Interdiction,250.0,1310.0,0,1.0,1.0,22.5,16.5,5.5,50040.0,Flight Ready,AEGS,,60.0
25,Avenger Titan,Small,Light Freight,188.0,1113.0,8,1.0,1.0,22.5,16.5,5.5,52868.42,Flight Ready,AEGS,,
26,Avenger Titan Renegade,Small,Light Freight,188.0,1113.0,8,1.0,1.0,22.5,16.5,5.5,52868.42,Flight Ready,AEGS,,
27,Avenger Warlock,Small,Interdiction,240.0,1305.0,0,1.0,1.0,22.5,16.5,5.5,50070.0,Flight Ready,AEGS,,
28,Bengal,Capital,Fleet carrier,30.0,900.0,0,20.0,750.0,990,10.0,20.0,156000000.0,Production,RSI,TBA,
29,Blade,Small,Light Fighter,290.0,1240.0,0,1.0,1.0,16.5,20.0,5.5,26056.0,Flight Ready,ESRA,,
30,Blade (vanduul),Small,Light Fighter,214.0,1238.0,0,1.0,1.0,15.5,20.0,4.5,27019.0,Production,VNCL,,
31,Buccaneer,Small,Interdiction,280.0,1315.0,0,1.0,1.0,15,16.0,4.5,42276.0,Flight Ready,DRAK,,
32,C2 Hercules Starlifter,Large,Transport,135.0,962.0,696,,2.0,94,70.0,23.0,3193461.0,Flight Ready,CRSD,,
33,C8 Pisces,Small,Exploration,140.0,1150.0,4,1.0,3.0,12,10.0,3.2,48143.0,Flight Ready,ANVL,,
34,C8X Pisces Expedition,Small,Exploration,140.0,1150.0,4,1.0,3.0,13,10.0,3.2,48143.0,Flight Ready,ANVL,Alpha 3.7.2,
35,Carrack,Large,Expedition,208.0,1076.0,456,4.0,6.0,126.5,76.5,30.0,4397858.0,Flight Ready,ANVL,,
36,Carrack Best in Show 2950 Edition,Large,Expedition,208.0,1076.0,456,4.0,6.0,126.5,76.5,30.0,4397858.0,Flight Ready,ANVL,,
37,Carrack Expedition,Large,Expedition,208.0,1076.0,456,4.0,6.0,126.5,76.5,30.0,4397858.0,Flight Ready,ANVL,,
38,Caterpillar,Large,Transport,130.0,890.0,564,2.0,4.0,111.5,39.0,13.5,1673626.25,Flight Ready,DRAK,,
39,Caterpillar Best In Show Edition,Large,Transport,130.0,890.0,564,2.0,4.0,111.5,39.0,13.5,1608205.0,Flight Ready,DRAK,,
40,Caterpillar Pirate Edition,Large,Transport,130.0,890.0,564,2.0,4.0,111.5,39.0,13.5,1608205.0,Flight Ready,DRAK,,
42,Constellation Andromeda,Large,Medium Freight;Gunship,190.0,910.0,96,3.0,4.0,61,26.0,14.0,436531.22,Flight Ready,RSI,,
43,Constellation Aquila,Large,Expedition,190.0,985.0,96,3.0,4.0,61,26.0,14.0,453823.25,Flight Ready,RSI,,
44,Constellation Phoenix,Large,Touring,120.0,900.0,96,3.0,4.0,61,26.0,14.0,417510.0,Flight Ready,RSI,Alpha 3.3.0,
45,Constellation Phoenix Emerald,Large,Touring,120.0,900.0,96,3.0,4.0,61,26.0,14.0,417510.0,Flight Ready,RSI,Alpha 3.4.0,
46,Constellation Taurus,Large,Medium Freight,114.0,911.0,174,3.0,4.0,61,26.0,14.0,431529.28,Flight Ready,RSI,,
