,Unnamed: 0,Name,Size,Role,SCM(m/s),Boost(m/s),SCU(kg),Crew min,Crew max,Length(m),Beam(m),Height(m),Mass(kg),Status,Manufacturer,Patch release,Cost (Dollars)
0,0,100i,Small,Starter;Touring,215,1000,2,1,1,19.3,11,4,48143,Flight Ready,ORIG,,50
1,1,125a,Small,Starter;Light Fighter,230,1150,2,1,1,19.3,11,4,48143,Flight Ready,ORIG,,60
2,2,135c,Small,Starter;Light Freight,190,1095,6,1,1,19.3,11,4,48143,Flight Ready,ORIG,Alpha 3.11.0,65
3,3,300i,Small,Touring,204,1190,8,1,1,27,17,8,66320,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.0 (Rework),60
4,4,315p,Small,Pathfinder,210,1225,12,1,1,27,17,8,69220,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.1 (Rework),65
5,5,325a,Small,Interdiction,225,1315,4,1,1,27,17,8,81435,Flight Ready,ORIG,,70
6,6,350r,Small,Racing,258,1345,4,1,1,27,17,8,58530,Flight Ready,ORIG,Patch 1 (Original)Alpha 3.5.1 (Rework),125
7,7,400i,Large,Pathfinder,184,1249,42,1,3,60,32,12.5,455927.06,Flight Ready,ORIG,,250
8,8,600i Executive-Edition,Large,Expedition,146,975,40,2,5,91.5,52,17,1576792,Flight Ready,ORIG,,25000
9,9,600i Explorer,Large,Expedition,147,976,40,2,5,91.5,52,17,1626251.25,Flight Ready,ORIG,,475
10,10,600i Touring,Large,Touring,135,951,16,3,5,91.5,52,17,1576792,Flight Ready,ORIG,,350
11,11,85X,Snub,Touring,255,1185,0,1,2,13,10,2,19097,Flight Ready,ORIG,,50
12,12,890 Jump,Capital,Touring,81,900,484,3,5,210,71,40,44246556,Flight Ready,ORIG,,950
13,13,A2 Hercules Starlifter,Large,Transport Gunship,135,961,216,1,8,94,70,23,3191991.75,Flight Ready,CRSD,,700
14,14,Apollo Medivac,Large,Support - Medical,195,1101,28,1,2,43,30,10,376500,Announced,RSI,TBA,275
15,15,Apollo Triage,Large,Support - Medical,205,1210,28,1,2,43,30,10,376500,Announced,RSI,TBA,250
16,16,Ares Star Fighter Inferno,Medium,Heavy Combat Fighter,171,818,0,1,1,27.2,30.2,5.5,343454.97,Flight Ready,CRSD,,220
17,17,Ares Star Fighter Ion,Medium,Heavy Combat Fighter,170,818,0,1,1,27.2,30.2,5.5,342194.97,Flight Ready,CRSD,,220
18,18,Arrow,Small,Light Fighter,270,1235,0,1,1,16,12,4,34377,Flight Ready,ANVL,,75
19,19,Aurora CL,Small,Light Freight,185,1095,6,1,1,18,8,4,25172,Flight Ready,RSI,,45
20,20,Aurora ES,Small,Starter;Pathfinder,199,1140,3,1,1,18,8,4,25172,Flight Ready,RSI,,20
21,21,Aurora LN,Small,Light Fighter,185,1212,3,1,1,18,8,4,25338,Flight Ready,RSI,,40
22,22,Aurora LX,Small,Pathfinder,198,1201,3,1,1,18,8,4,25017,Flight Ready,RSI,,35
23,23,Aurora MR,Small,Light Fighter,195,1211,3,1,1,18,8,4,28696.99,Flight Ready,RSI,,30
24,24,Avenger Stalker,Small,Interdiction,250,1310,0,1,1,22.5,16.5,5.5,50040,Flight Ready,AEGS,,60
25,25,Avenger Titan,Small,Light Freight,188,1113,8,1,1,22.5,16.5,5.5,50040,Flight Ready,AEGS,,70
26,26,Avenger Titan Renegade,Small,Light Freight,189,1113,8,1,1,22.5,16.5,5.5,50735,Flight Ready,AEGS,,75
27,27,Avenger Warlock,Small,Interdiction,240,1305,0,1,1,22.5,16.5,5.5,50070,Flight Ready,AEGS,,85
28,28,Bengal,Capital,Fleet carrier,30,900,0,20,750,990,10,20,156000000,Production,RSI,TBA,n/a
29,29,Blade,Small,Light Fighter,290,1240,0,1,1,16.5,20,5.5,26056,Flight Ready,ESRA,,275
30,30,Blade (vanduul),Small,Light Fighter,214,1238,0,1,1,15.5,20,4.5,27019,Production,VNCL,,275
31,31,Buccaneer,Small,Interdiction,280,1315,0,1,1,15,16,4.5,42276,Flight Ready,DRAK,,110
32,32,C2 Hercules Starlifter,Large,Transport,135,962,696,,2,94,70,23,3193461,Flight Ready,CRSD,,400
33,33,C8 Pisces,Small,Exploration,142,1151,4,1,3,12,10,3.2,48143,Flight Ready,ANVL,,45
34,34,C8X Pisces Expedition,Small,Exploration,141,1152,4,1,3,13,10,3.2,48143,Flight Ready,ANVL,Alpha 3.7.2,45
35,35,Carrack,Large,Expedition,209,1077,456,4,6,126.5,76.5,30,4397858,Flight Ready,ANVL,,600
36,36,Carrack Best in Show 2950 Edition,Large,Expedition,206,1078,456,4,6,126.5,76.5,30,4397858,Flight Ready,ANVL,,600
37,37,Carrack Expedition,Large,Expedition,204,1079,456,4,6,126.5,76.5,30,4397858,Flight Ready,ANVL,,1100
38,38,Caterpillar,Large,Transport,130,891,564,2,4,111.5,39,13.5,1673626.25,Flight Ready,DRAK,,330
39,39,Caterpillar Best In Show Edition,Large,Transport,130,893,564,2,4,111.5,39,13.5,1608205,Flight Ready,DRAK,,330
40,40,Caterpillar Pirate Edition,Large,Transport,130,897,564,2,4,111.5,39,13.5,1608205,Flight Ready,DRAK,,330
41,41,Collector,,,,,,,,,,,,Concept,VNCL,,n/a
42,42,Constellation Andromeda,Large,Medium Freight;Gunship,187,910,96,3,4,61,26,14,436531,Flight Ready,RSI,,240
43,43,Constellation Aquila,Large,Expedition,186,985,96,3,4,61,26,14,453823,Flight Ready,RSI,,310
44,44,Constellation Phoenix,Large,Touring,118,901,96,3,4,61,26,14,417510,Flight Ready,RSI,Alpha 3.3.0,350
45,45,Constellation Phoenix Emerald,Large,Touring,117,909,96,3,4,61,26,14,417510,Flight Ready,RSI,Alpha 3.4.0,350
46,46,Constellation Taurus,Large,Medium Freight,114,911,174,3,4,61,26,14,431529,Flight Ready,RSI,,190
47,47,Corsair,Large,Exploration,160,950,72,1,4,55,27,31,434629,Production,DRAK,TBA,225
48,48,Crucible,Large,Heavy Repair,140,908,230,3,8,90,50,20,3650500,Announced,ANVL,TBA,350
49,49,Cutlass Black,Medium,Medium Fighter;Medium Freight,221,1116,46,2,2,29,26.5,10,226700,Flight Ready,DRAK,,100
50,50,Cutlass Black Best In Show Edition,Medium,Medium Fighter;Medium Freight,222,1118,46,2,2,29,26.5,10,226700,Flight Ready,DRAK,?,100
51,51,Cutlass Black Best in Show 2950 Edition,Medium,Medium Fighter;Medium Freight,223,1114,46,2,2,29,26.5,10,226700,Flight Ready,DRAK,,100
52,52,Cutlass Blue,Medium,Interdiction,220,1115,12,2,2,29,26.5,10,226700,Flight Ready,DRAK,,100
53,53,Cutlass Red,Medium,Medical,165,1198,12,2,2,36,26,12,226700,Flight Ready,DRAK,,135
54,54,Cutter,Snub,,,,,,,,,,,Announced,[[]],,n/a
55,55,Defender,Small,Light Fighter,203,1200,0,1,2,25.5,20,8,78406,Flight Ready,SOUL,,220
56,56,Driller,Capital,Escort and troop carrier,67,900,1,15,100,"2,400",710,625,10218790,Production,VNCL,,n/a
57,57,Eclipse,Medium,Stealth Bomber,196,983,0,1,1,20.5,36.6,4.4,57938.02,Flight Ready,AEGS,Alpha 3.2.0,300
58,58,Eclipse Best in Show 2950 Edition,Medium,Stealth Bomber,193,980,0,1,1,20.5,36.6,4.4,54216,Flight Ready,AEGS,Alpha 3.11.1,300
59,59,Endeavor,Capital,Heavy Science,31,902,500,1,5,200,48,20,4055000,Announced,MISC,,350
60,60,Endeavor Discovery,Capital,Heavy Science,33,903,500,3,5,200,48,20,4055000,Announced,MISC,TBA,425
61,61,Endeavor Hope,Capital,Heavy Science,35,904,500,3,5,200,48,20,4055000,Announced,MISC,TBA,450
62,62,Endeavor Olympic,Capital,Heavy Science,34,905,500,3,5,200,48,20,4055000,Announced,MISC,TBA,500
63,63,F7A Hornet,Small,Medium Fighter,205,1500,0,1,1,22.5,22,7,80695.01,Production,ANVL,TBA,110
64,64,F7C Hornet,Small,Medium Fighter,235,1225,2,1,1,22.5,21.5,6.5,73535,Flight Ready,ANVL,?,110
65,65,F7C Hornet Wildfire,Small,Medium Fighter,185,1224,0,1,1,22.5,21.5,6.5,73535,Flight Ready,ANVL,Alpha 2.6.0,175
66,66,F7C-M Super Hornet,Small,Medium Fighter,238,1220,0,1,2,25.5,24,6.5,78466,Flight Ready,ANVL,,180
67,67,F7C-M Super Hornet Heartseeker,Small,Medium Fighter,239,1221,0,1,2,25.5,24,6.5,78466,Flight Ready,ANVL,Alpha 3.5.0,195
68,68,F7C-R Hornet Tracker,Small,Pathfinder,240,1215,0,1,1,22.5,21.5,6.5,73497,Flight Ready,ANVL,?,140
69,69,F7C-S Hornet Ghost,Small,Stealth Fighter,235,1225,0,1,1,22.5,21.5,6.5,73454,Flight Ready,ANVL,?,125
70,70,F8A Lightning,Small,Heavy Fighter,213,1339,0,1,1,26,24,8,161236.03,Production,ANVL,TBA,15000
71,71,F8C Lightning,Small,Heavy Fighter,219,1338,0,1,1,26,24,8,158189,Production,ANVL,TBA,15000
72,72,F8C Lightning Executive-Edition,Small,Heavy Fighter,218,1337,0,1,1,26,24,8,158189,Production,ANVL,TBA,15000
73,73,Freelancer,Medium,Medium Freight,205,1011,66,2,4,38,23.5,9.5,209230,Flight Ready,MISC,,110
74,74,Freelancer DUR,Medium,Expedition,154,1005,36,2,4,38,23.5,9.5,213680,Flight Ready,MISC,Alpha 3.4.0,135
75,75,Freelancer MAX,Medium,Medium Freight,155,1007,120,2,4,38,36,9.5,336230,Flight Ready,MISC,,150
76,76,Freelancer MIS,Medium,Gunship,161,1006,36,2,4,38,23.5,9.5,213680,Flight Ready,MISC,Alpha 3.4.0,175
77,77,Genesis Starliner,Large,Passenger,160,950,300,2,8,85,90,16,3120000,Announced,CRSD,TBA,400
78,78,Gladiator,Small,Bomber,200,980,0,1,2,22.5,22.5,6,87497,Flight Ready,ANVL,,165
79,79,Gladius,Small,Light Fighter,212,1235,0,1,1,20,17,5.5,57685.05,Flight Ready,AEGS,,90
80,80,Gladius Valiant,Small,Light Fighter,209,1235,0,1,1,20,17,5.5,57685.06,Flight Ready,AEGS,,110
81,81,Glaive,Medium,Medium Fighter,255,1230,0,1,1,31,31.5,8.5,66013,Flight Ready,ESRA,?,350
82,82,Hammerhead,Large,Heavy Gunship,105,998,40,3,8,115,75,16,4630030,Flight Ready,AEGS,Alpha 3.3.0,725
83,83,Hammerhead Best In Show Edition,Large,Heavy Gunship,105,999,40,3,8,115,75,16,4260000,Flight Ready,AEGS,,725
84,84,Hawk,Small,Light Fighter,201,500,0,1,1,17,22,6.5,40000,Flight Ready,ANVL,Alpha 3.4.0,100
85,85,Herald,Small,Medium Data,235,1360,0,1,1,23.5,12.5,9,66031,Flight Ready,DRAK,Alpha 2.6.0,85
86,86,Hull A,Small,Medium Freight,108,1002,512,1,1,22,8,4,122650,Production,MISC,,90
87,87,Hull B,Medium,Heavy Freight,102,940,"1,024",1,1,49,15.5,17,387500,Announced,MISC,,140
88,88,Hull C,Large,Heavy Freight,90,907,"4,608",2,4,125,55,55,886930,Production,MISC,,350
